貝	贝
車	车
夾	夹
見	见
壯	壮
妝	妆
兒	儿
長	长
東	东
岡	冈
戔	戋
糾	纠
來	来
侖	仑
兩	两
門	门
協	协
亞	亚
軋	轧
狀	状
訂	订
訃	讣
計	计
飛	飞
風	风
負	负
貞	贞
釓	钆
釔	钇
軌	轨
軍	军
紇	纥
紅	红
紀	纪
紉	纫
紈	纨
紆	纡
約	约
紂	纣
後	后
勁	劲
剄	刭
剋	克
則	则
厙	厍
帥	帅
閂	闩
為	为
韋	韦
係	系
俠	侠
頁	页
唄	呗
員	员
狽	狈
狹	狭
財	财
貢	贡
倉	仓
倀	伥
個	个
倆	俩
倫	伦
們	们
剗	刬
剛	刚
芻	刍
純	纯
紡	纺
紛	纷
級	级
納	纳
紐	纽
紕	纰
紝	纴
紗	纱
紓	纾
紋	纹
紜	纭
紖	纼
紙	纸
島	岛
崍	崃
峽	峡
峴	岘
釘	钉
釕	钌
釙	钋
釗	钊
針	针
凍	冻
鬥	斗
訌	讧
記	记
訐	讦
訖	讫
訕	讪
討	讨
訊	讯
訓	训
迴	回
浹	浃
涇	泾
郟	郏
徑	径
庫	库
馬	马
畝	亩
豈	岂
氣	气
軔	轫
軒	轩
孫	孙
閃	闪
陝	陕
陘	陉
陣	阵
師	师
時	时
書	书
烏	乌
挾	挟
脅	胁
覎	觃
隻	只
衹	只
訛	讹
訪	访
訣	诀
訥	讷
訟	讼
設	设
訢	䜣
訩	讻
許	许
訝	讶
堊	垩
堅	坚
埡	垭
執	执
軛	轭
軟	软
區	区
敗	败
絆	绊
紬	䌷
絀	绌
紿	绐
紱	绂
紼	绋
紺	绀
紹	绍
紳	绅
細	细
紲	绁
組	组
終	终
畢	毕
閉	闭
參	参
側	侧
偉	伟
偵	侦
從	从
徠	徕
釵	钗
釧	钏
釣	钓
釩	钒
釹	钕
釺	钎
釤	钐
釷	钍
産	产
悵	怅
陳	陈
陸	陆
陰	阴
處	处
帶	带
帳	帐
頂	顶
頃	顷
崬	岽
崗	岗
動	动
務	务
販	贩
貫	贯
貨	货
貧	贫
貪	贪
責	责
婦	妇
婁	娄
婭	娅
乾	干
掆	㧏
捲	卷
掄	抡
捫	扪
掃	扫
捨	舍
掗	挜
剮	剐
規	规
覓	觅
視	视
匭	匦
國	国
圇	囵
華	华
莊	庄
飢	饥
梘	枧
條	条
梟	枭
將	将
專	专
脛	胫
淶	涞
淪	沦
淺	浅
淵	渊
連	连
這	这
啢	唡
啓	启
問	问
啞	哑
鹵	卤
麥	麦
鳥	鸟
牽	牵
氫	氢
殺	杀
術	术
烴	烃
習	习
現	现
郵	邮
魚	鱼
斬	斩
張	张
眾	众
晝	昼
硃	朱
惡	恶
惻	恻
悶	闷
惱	恼
愜	惬
惲	恽
貳	贰
賁	贲
貶	贬
貸	贷
費	费
貴	贵
賀	贺
貺	贶
買	买
貿	贸
貰	贳
貼	贴
貽	贻
貯	贮
鈀	钯
鈈	钚
鈔	钞
鈄	钭
鈍	钝
鈁	钫
鈣	钙
鈎	钩
鈥	钬
鈞	钧
鈧	钪
鈉	钠
鈕	钮
鈐	钤
鈦	钛
鈃	钘
釾	䥺
報	报
場	场
堝	埚
堯	尧
備	备
傖	伧
傢	家
傘	伞
㑳	㑇
筆	笔
殘	残
廁	厕
測	测
渢	沨
溈	沩
渦	涡
渾	浑
湯	汤
湞	浈
詞	词
詆	诋
詁	诂
訶	诃
詎	讵
評	评
詘	诎
訴	诉
詗	诇
詒	诒
詛	诅
詐	诈
詔	诏
診	诊
覘	觇
硨	砗
硤	硖
硯	砚
棖	枨
棟	栋
棡	㭎
棗	枣
棧	栈
創	创
剴	剀
單	单
喬	乔
喪	丧
喎	㖞
喲	哟
絰	绖
給	给
絎	绗
絳	绛
絞	绞
結	结
絕	绝
絝	绔
絡	络
絨	绒
絲	丝
統	统
絢	绚
腖	胨
腎	肾
脹	胀
隊	队
階	阶
陽	阳
馱	驮
馮	冯
馭	驭
發	发
復	复
軲	轱
軤	轷
軻	轲
軺	轺
軼	轶
軫	轸
軸	轴
媯	妫
媧	娲
頇	顸
順	顺
項	项
須	须
壺	壶
畫	画
揮	挥
揀	拣
揚	扬
幾	几
間	间
開	开
閔	闵
閏	闰
閑	闲
進	进
痙	痉
凱	凯
殼	壳
睏	困
嵐	岚
勞	劳
勝	胜
勛	勋
虜	虏
欽	钦
韌	韧
飥	饦
圍	围
幃	帏
幀	帧
無	无
鄉	乡
鄆	郓
尋	寻
氬	氩
猶	犹
雲	云
葤	荮
愛	爱
愴	怆
愷	恺
愾	忾
頒	颁
頓	顿
頏	颃
頎	颀
頌	颂
頑	顽
頊	顼
預	预
綁	绑
綆	绠
經	经
絹	绢
綏	绥
綈	绨
綃	绡
綉	绣
鉍	铋
鉢	钵
鈸	钹
鉑	铂
鈿	钿
鈷	钴
鉀	钾
鈳	钶
鈴	铃
鉚	铆
鉬	钼
鈮	铌
鈹	铍
鉕	钷
鉛	铅
鉗	钳
鈰	铈
鉈	铊
鉭	钽
鉉	铉
鈾	铀
鈺	钰
鉞	钺
鉦	钲
補	补
裏	里
裊	袅
裝	装
滄	沧
溝	沟
滅	灭
溮	浉
溳	涢
準	准
詫	诧
該	该
詬	诟
詿	诖
詭	诡
話	话
詼	诙
詰	诘
誇	夸
誆	诓
誄	诔
詮	诠
詩	诗
試	试
詳	详
詡	诩
詢	询
詣	诣
誅	诛
腸	肠
腡	脶
腦	脑
腫	肿
馳	驰
馴	驯
飭	饬
飿	饳
飯	饭
飪	饪
飩	饨
飲	饮
飫	饫
傳	传
僅	仅
僂	偻
僉	佥
傾	倾
傷	伤
傭	佣
傴	伛
債	债
蒓	莼
莢	荚
莖	茎
莧	苋
達	达
過	过
違	违
運	运
當	当
魛	鱽
搗	捣
搶	抢
損	损
電	电
煩	烦
煉	炼
煢	茕
煒	炜
煬	炀
楓	枫
極	极
楊	杨
業	业
楨	桢
鳬	凫
鳩	鸠
賅	赅
賈	贾
賄	贿
賃	赁
賂	赂
賊	贼
資	资
幹	干
嗊	唝
嗎	吗
嗆	呛
嗇	啬
嗩	唢
嗚	呜
號	号
匯	汇
彙	汇
會	会
琿	珲
瑋	玮
蛺	蛱
蜆	蚬
筧	笕
節	节
較	较
輅	辂
軾	轼
載	载
輊	轾
塏	垲
塊	块
塒	埘
塗	涂
塢	坞
塤	埙
塋	茔
壼	壸
睞	睐
亂	乱
媽	妈
獁	犸
猻	狲
獅	狮
黽	黾
寜	宁
農	农
羥	羟
義	义
巰	巯
肅	肃
歲	岁
聖	圣
勢	势
竪	竖
鄔	邬
鄖	郧
鄒	邹
暘	旸
暈	晕
爺	爷
園	园
圓	圆
隕	陨
閘	闸
盞	盏
銨	铵
鉺	铒
銃	铳
銚	铫
銱	铞
銩	铥
鉻	铬
鉿	铪
鉸	铰
銬	铐
銠	铑
銘	铭
銓	铨
銣	铷
銫	铯
銅	铜
銑	铣
銜	衔
鉶	铏
銥	铱
銦	铟
銀	银
銪	铕
銖	铢
骯	肮
誒	诶
誠	诚
誕	诞
誥	诰
誨	诲
誡	诫
誑	诳
誚	诮
認	认
誦	诵
說	说
誣	诬
誤	误
誘	诱
語	语
爾	尔
嘔	呕
嗶	哔
嘗	尝
嘍	喽
嘜	唛
嘆	叹
嘖	啧
慪	怄
慚	惭
慘	惨
慣	惯
慳	悭
慶	庆
態	态
慟	恸
漚	沤
滻	浐
滌	涤
漢	汉
滸	浒
滬	沪
漸	渐
漣	涟
漊	溇
滷	卤
滿	满
滲	渗
滎	荥
漁	渔
漲	涨
滯	滞
漬	渍
飽	饱
餄	饸
餎	饹
飼	饲
飾	饰
餏	饻
飴	饴
綳	绷
綢	绸
綽	绰
緋	绯
綱	纲
綸	纶
緄	绲
緊	紧
綾	绫
綹	绺
綠	绿
綿	绵
綺	绮
綣	绻
綬	绶
綰	绾
網	网
維	维
綫	线
緒	绪
綜	综
綻	绽
緇	缁
綴	缀
賓	宾
賒	赊
賑	赈
駁	驳
摻	掺
摜	掼
摑	掴
摳	抠
摟	搂
摶	抟
摺	折
暢	畅
塵	尘
墊	垫
塹	堑
稱	称
種	种
碭	砀
碸	砜
碩	硕
遞	递
遜	逊
遠	远
對	对
奪	夺
奬	奖
奩	奁
罰	罚
閥	阀
閣	阁
閨	闺
閡	阂
閤	合
閩	闽
䦛	䦶
僨	偾
僥	侥
僕	仆
僑	侨
僞	伪
瘋	疯
瘍	疡
鳳	凤
鳴	鸣
鳶	鸢
韍	韨
輔	辅
輕	轻
輒	辄
趕	赶
趙	赵
構	构
榖	谷
榿	桤
槍	枪
榮	荣
幗	帼
幘	帻
劃	划
夥	伙
夢	梦
禍	祸
禕	祎
禎	祯
際	际
監	监
盡	尽
箋	笺
皸	皲
匱	匮
萊	莱
領	领
頗	颇
嶁	嵝
嶇	岖
嶄	崭
犖	荦
屢	屡
瑪	玛
瑲	玱
瑣	琐
麼	么
麽	么
齊	齐
戧	戗
熗	炝
熒	荧
寢	寝
實	实
廎	庼
颯	飒
颱	台
壽	寿
臺	台
圖	图
團	团
窪	洼
窩	窝
聞	闻
覡	觋
厭	厌
勩	勚
與	与
嫗	妪
獄	狱
殞	殒
製	制
皚	皑
鋨	锇
鋇	钡
銼	锉
鋤	锄
鋒	锋
鋯	锆
鋏	铗
鋦	锔
鋃	锒
鋰	锂
鋁	铝
鋩	铓
鋪	铺
鋟	锓
銳	锐
鋱	铽
銻	锑
鋌	铤
銷	销
鋅	锌
銹	锈
鋥	锃
噁	恶
嘸	呒
嘩	哗
嘰	叽
嘮	唠
噴	喷
噝	咝
嘵	哓
嘯	啸
餌	饵
餃	饺
餉	饷
養	养
歐	欧
毆	殴
罷	罢
罵	骂
鴇	鸨
鳾	䴓
鴉	鸦
鴆	鸩
輩	辈
輥	辊
輝	辉
輛	辆
輪	轮
輦	辇
輞	辋
輜	辎
幣	币
幟	帜
潷	滗
澗	涧
漿	浆
澆	浇
潔	洁
潰	溃
澇	涝
潑	泼
潤	润
潿	涠
潯	浔
潁	颍
編	编
締	缔
緞	缎
緱	缑
緩	缓
緝	缉
緘	缄
緙	缂
練	练
緬	缅
緲	缈
緡	缗
緦	缌
緹	缇
緯	纬
線	线
緗	缃
緣	缘
緻	致
標	标
樅	枞
槳	桨
樂	乐
樓	楼
槧	椠
樞	枢
樣	样
樁	桩
彆	别
彈	弹
撥	拨
撣	掸
撫	抚
擊	击
撟	挢
撈	捞
撓	挠
撲	扑
撳	揿
撏	挦
摯	挚
層	层
賜	赐
賧	赕
賦	赋
賡	赓
賫	赍
賤	贱
賚	赉
賣	卖
賠	赔
䝼	䞍
賞	赏
賢	贤
賬	账
質	质
賙	赒
嬋	婵
嫿	婳
嬌	娇
嬈	娆
嫵	妩
嫻	娴
諂	谄
調	调
誹	诽
課	课
諒	谅
論	论
請	请
誶	谇
誰	谁
諗	谂
談	谈
諉	诿
誼	谊
諏	诹
諍	诤
諄	谆
諑	诼
廠	厂
廢	废
廣	广
廟	庙
廡	庑
徹	彻
徵	征
齒	齿
衝	冲
衛	卫
䦟	䦷
閫	阃
閬	阆
閭	闾
閱	阅
瘡	疮
瘧	疟
瘞	瘗
鄲	郸
鄧	邓
鄰	邻
鄭	郑
憚	惮
憤	愤
憒	愦
憐	怜
慮	虑
憫	悯
慤	悫
慫	怂
憮	怃
憲	宪
憂	忧
導	导
敵	敌
數	数
墮	堕
墳	坟
墜	坠
髮	发
範	范
篋	箧
魴	鲂
魯	鲁
魷	鱿
膚	肤
膕	腘
膠	胶
膞	䏝
麩	麸
複	复
駙	驸
駕	驾
駒	驹
駑	驽
駟	驷
駛	驶
駘	骀
駝	驼
駔	驵
駐	驻
頜	颌
頡	颉
頦	颏
鞏	巩
颳	刮
劊	刽
劌	刿
劍	剑
劇	剧
劉	刘
葒	荭
葷	荤
蕒	荬
萬	万
葦	苇
萵	莴
葉	叶
翬	翚
價	价
儉	俭
儈	侩
儂	侬
儀	仪
億	亿
踐	践
嶠	峤
嶗	崂
嶔	嵚
嶢	峣
靚	靓
寬	宽
審	审
寫	写
厲	厉
璉	琏
瑩	莹
碼	码
確	确
磑	硙
鬧	闹
盤	盘
窮	穷
熱	热
毿	毵
殤	殇
蝕	蚀
蝸	蜗
蝦	虾
適	适
豎	竖
興	兴
暫	暂
皺	皱
錒	锕
錛	锛
錶	表
錯	错
錘	锤
鍀	锝
錠	锭
鋼	钢
錮	锢
錦	锦
鋸	锯
錁	锞
錕	锟
錸	铼
錄	录
鍆	钔
錳	锰
鍩	锘
錇	锫
錢	钱
錫	钖
鍁	锨
錚	铮
錙	锱
錐	锥
噯	嗳
噠	哒
噹	当
噸	吨
噲	哙
駡	骂
噥	哝
噦	哕
嬡	嫒
嬙	嫱
諳	谙
諤	谔
諶	谌
諦	谛
諜	谍
諷	讽
諱	讳
諢	诨
諫	谏
謀	谋
諾	诺
諞	谝
謂	谓
諧	谐
諝	谞
諼	谖
諺	谚
謁	谒
諛	谀
諭	谕
諮	谘
諸	诸
餓	饿
餑	饽
餜	馃
餒	馁
餘	余
甌	瓯
鮁	鲅
鮑	鲍
鮒	鲋
鮎	鲇
鮍	鲏
鮃	鲆
鮐	鲐
鮣	䲟
鮓	鲊
辦	办
憊	惫
懇	恳
憑	凭
憶	忆
懌	怿
應	应
儐	傧
儕	侪
儔	俦
儘	尽
穇	䅟
積	积
穌	稣
穎	颖
艙	舱
蒼	苍
蓋	盖
蓀	荪
蒔	莳
輳	辏
輻	辐
輯	辑
輸	输
縗	缞
縛	缚
縞	缟
縑	缣
縉	缙
縟	缛
縧	绦
縣	县
縊	缢
縈	萦
縕	缊
縝	缜
縐	绉
縋	缒
閶	阊
閽	阍
閿	阌
閹	阉
閼	阏
閻	阎
閾	阈
磣	碜
磧	碛
磚	砖
赬	赪
鴟	鸱
鴣	鸪
鴒	鸰
鴝	鸲
鴕	鸵
鴞	鸮
鴨	鸭
鴦	鸯
鴛	鸳
遲	迟
遼	辽
遷	迁
選	选
遺	遗
熾	炽
燈	灯
燜	焖
燒	烧
燙	烫
燁	烨
擔	担
擋	挡
撿	捡
據	据
擓	㧟
擄	掳
撻	挞
撾	挝
擁	拥
擇	择
殫	殚
殨	㱮
澱	淀
澮	浍
澠	渑
濃	浓
澾	㳠
澦	滪
澤	泽
濁	浊
窵	窎
窶	窭
窺	窥
獨	独
獪	狯
獫	猃
篤	笃
篩	筛
築	筑
賭	赌
賵	赗
賴	赖
奮	奋
龜	龟
駭	骇
駱	骆
駢	骈
頷	颔
頰	颊
頸	颈
頻	频
頲	颋
頭	头
頹	颓
頤	颐
樺	桦
機	机
樸	朴
橋	桥
橈	桡
樹	树
橢	椭
璣	玑
璡	琎
劑	剂
舉	举
墾	垦
壇	坛
瞘	眍
瞜	䁖
瞞	瞒
褲	裤
鄶	郐
鄴	邺
曆	历
曇	昙
曉	晓
曄	晔
歷	历
龍	龙
瘻	瘘
瘮	瘆
盧	卢
螞	蚂
螄	蛳
螢	萤
膩	腻
親	亲
覦	觎
隨	随
險	险
學	学
嶨	峃
嶧	峄
踴	踊
禦	御
醞	酝
戰	战
鎄	锿
鍔	锷
鍤	锸
鍍	镀
鍛	锻
鍋	锅
鍰	锾
鍵	键
鍇	锴
錨	锚
鎇	镅
鎂	镁
鍬	锹
鍥	锲
鍶	锶
鍚	钖
鍘	铡
鍺	锗
